cost_code,equipment,manufacturer,specification,capacity,hp,notes,unit,rate
8069,Bush Hog,Vermeer MC3700,12-FT cutting width,,,,Hour,29.22
8069.1,Bush Hog,Bush Hog 2820 Average Retail Rental Rates,85-IN cutting width,,,,Hour,45.42
8070,"Automobile, Sedan",2023 Dodge Charger SXT,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",,,,Mile,0.7
8071,"Automobile, Pick-up",2023 RAM 1500 Tradesman,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",,,,Hour,15.29
8073,"Automobile, Police",2023 Dodge Charger Pursuit,Enigne: 3.6L V6 or 5.7L V8 HEMI Transmission: 8 Speed,,,,Hour,19.14
8074,"Automobile, Police",2024 Dodge Durango Pursuit,AWD 3.6L V6 24V VVT Pentastar Engine with ESS Transmission: 8 Speed Automatic 850RE Transmission,,,,Hour,19.19
8075,"Motorcycle, Police",2023 BMW R 1250 RT-P,,,,,Hour,9.53
8075.1,"Motorcycle, Police",2023 BMW R 1250 RT-P,,,,,Mile,0.68
8076,"Automobile, SUV Mid Size",2023 Ford Explorer XLT,"EcoBoost 2.3L I-4 gasoline direct injection, DOHC, variable valv",,,,Hour,16.1
8077,"Automobile, SUV Full Size",2023 Ford Expedition XLT,3.5L V6 24V PDI DOHC Twin Turbo,,,,Hour,25.02
8078,MRAP Armored Rescue Vehicle,Military Surplus Vehicle,Military Surplus Vehicle,,375-450,,Hour,73.37
8079,MRAP C-MTV,gvwr 55000 Lbs,gvwr 55000 Lbs,,to 350,,Hour,63.32
8080,All Terrain Vehicle,Polaris Ranger SP 570,2 Seat with bed box,up to 600CC,up to 50,New,Hour,16.72
8081,All Terrain Vehicle,Polaris Ranger SP 570,4 Seat with bed box,up to 600CC,up to 50,New,Hour,17.45
8082,All Terrain Vehicle,Polaris Sportsman 850 Mud Edition,Single seater,up to 850CC,up to 80,New,Hour,18.22
8083,All Terrain Vehicle,Polaris Sportsman 1000 Mud Edition,Single seater,up to 1000CC,up to 90,New,Hour,20.41
8084,All Terrain Vehicle,Polaris General XP 1000,2 seater,up to 1000CC,up to 100,New,Hour,27.9
8085,All Terrain Vehicle,Polaris General XP 1000,4 seater,up to 1000CC,up to 100,New,Hour,30.09
8086,All Terrain Vehicle,Polaris Expedition,2 seater closed cab,up to 1000CC,up to 125,new,Hour,34.47
8087,All Terrain Vehicle,Polaris Expedition ADV 5,5 seater closed cab,up to 1000CC,up to 125,New,Hour,37.39
8088,Drone Atomizer (Sprayer),DJI AGRAS T50,"Drone comes with Liquid and Dry tanks, batteries, software and other necessary equipment to operate.",100 pounds Dry & 40 Liters Liquid,,new,Hour,26.27
8088.1,Drone Surveillance,Surveillance Drone,Parrot ANAFI USA GOV EDITION,,,New,Hour,11.3
8111,"Barge, Deck",Miscellaneous 300 - Deck Cargo Barges,50'x35'x9',50'x35'x9',N/A,Push by Tug-Boat,Hour,48.28
8112,"Barge, Deck",Miscellaneous Deck 1100 - Deck Cargo Barges,120'x45'x10-FT,120'x45'x10-FT,N/A,Push by Tug-Boat,Hour,95.52
8113,"Barge, Deck",Miscellaneous 1250 - Deck Cargo Barges,140'x45'x10-FT,140'x45'x10-FT,N/A,Push by Tug-Boat,Hour,103.95
8120,"Boat, Tow",Miscellaneous 55 - Tow Boats,50' - 64',50' - 64',to 870,Steel,Hour,518.33
8121,"Boat, Tow",Miscellaneous 60 21 - Tow Boats,50' - 64',50' - 64',to 1050,Steel,Hour,607.29
8122,"Boat, Tow",Miscellaneous 70 30 - Tow Boats,65' - 99',65' - 99',to 1350,Steel,Hour,932.62
8123,"Boat, Tow",Miscellaneous 120 - Tow Boats,100' - 124'',100' - 124'',to 2000,Steel,Hour,1729.83
8124,Airboat,815 AGIS Airboat w/spray unit,,,556,,Hour,36.78
8125,Airboat,815 AGIS Airboat w/spray unit,,,450,,Hour,33.2
8126,Swamp Buggy,ARGO Conquest 800 Outfitter,,,36,,Hour,41.97
8129,"Compactor, 2-ton pavement roller",Bid-well 2450,to 76',to 76',to 40,,Hour,28.55
8130,"Boat, Row",Miscellaneous Rowboat,,,N/A,Heavy duty.,Hour,1.09
8131,"Boat, Runabout",Marine Equipment Runabouts - 13,,,60,,Hour,13.38
8132,"Boat, Tender",Marine Equipment Tenders - 12,to 16',to 16',to 100,Inboard with 360 degree drive.,Hour,19.45
8133,"Boat, Push",Miscellaneous 400 - Push Boats,to 49',to 49',to 435,Flat hull.,Hour,215.37
8134,"Boat, Push",Miscellaneous 525 - Push Boats,50' - 74',50' - 74',to 525,Flat hull.,Hour,267.75
8135,"Boat, Push",Miscellaneous 705 - Push Boats,50' - 74',50' - 74',to 705,Flat hull.,Hour,482.92
8136,"Boat, Push",Miscellaneous 870 - Push Boats,50' - 74',50' - 74',to 870,Flat hull.,Hour,558.97
8137,"Boat, Debris Removal Skiff",Debris Removal Skiff,Length 48',Length 48',to 200,New 2023 rate,Hour,164.32
8138,"Boat, Jet","Boat, Jet (Woolridge Xtra Plus Inboard)","Length 20' 4""","Length 20' 4""",to 100,Shallow Draft,Hour,10.87
8140,"Boat, Tug",Miscellaneous 100 - Inland Tug Boats,Length 16',16',to 100,Shallow Draft,Hour,74.2
8141,"Boat, Tug",Miscellaneous 175 - Inland Tug Boats,Length 18',18',to 175,With Steering Nozzle,Hour,95.34
8142,"Boat, Tug",Miscellaneous 250 - Inland Tug Boats,Length 26',26',to 250,With Steering Nozzle,Hour,134.25
8143,"Boat, Tug",Miscellaneous 380 - Inland Tug Boats,Length 40',40',to 380,Standard Rudder,Hour,244.03
8144,"Boat, Tug",Miscellaneous 700 - Inland Tug Boats,Length 51',51',to 700,Twin Screw,Hour,390.09
8145,Jet Ski,Yamaha VX,Gasoline,Gasoline,,,Hour,9.06
8147,"Boat, Inflatable Rescue Raft",Zodiac C310 Solid 10 2?,,Diesel,,,Hour,0.93
8148,"Boat, Runabout",Marine Equipment Runabouts - 13,Gasoline,Gasoline,,,Hour,64.8
8149,"Boat, removable engine",2000 Johnson Outboard Motor,Gasoline,Gasoline,,,Hour,2.03
8149.1,"Boat, Recreational",Outboard motor,Center console with up to 3 outboard motors,36' long,,,Hour,48.65
8149.2,"Boat, Recreational",Outboard motor,Center console with up to 2 outboard motors,36' long,,,Hour,44.02
8149.3,"Boat, Police",Length 25',"Full Cabin Boat for patrols, response, port security, law enforcement and search and rescue (SAR). Boat can be equiped with various brand and tupe outboard motors.",25' long,,,Hour,34.5
8150,Self Propelled Pavement Brooms,Lay-Mor 6HC/8HC,,,to 37,,Hour,53.65
8151,"Broom, Pavement, Mounted",Miscellaneous TRAC MOUNT PTO DRIVE - For Mounting Pavement Brooms,"72""","72""",,,Hour,4.07
8153,Self Propelled Pavement Brooms,Broce RC-350 (disc. 2011),"96""","96""",to 100,Add Prime Mover cost for total rate,Hour,5.49
8154,"Broom, Pavement, Pull",Miscellaneous TRACTION PT - Pull Type Pavement Brooms,"84""","84""",to 20,,Hour,40.44
8154.1,Skid Steer for Broom,Bobcat 453 (disc. 2001),,,,,Hour,24.86
8155,Self Propelled Pavement Brooms,Terramite TSS46,6 or 8-FT broom heads,,to 35,,Hour,35.65
8157,"Sweeper, Pavement",Elgin - Pelican SE,"66"" & 36"" broom widths, 3.6-CY hopper",,to 110,,Hour,100.34
8158,"Sweeper, Pavement",Five Star - Broom Bear,"Max 120 sweep width, 4.5-CY hopper",,to 230,,Hour,123.69
8180,Bus,,,,185,,Hour,32.34
8181,Bus,,,,100,,Hour,31.26
8182,Bus,,,,230,,Hour,53.7
8183,Blower,,,,27,,Hour,20.63
8183.1,Mosquito Sprayer,Adapco - Guardian 95 ES,to 186 CFM,,,,Hour,18.19
8184,Back-pack Blower,,,,,,Hour,7.22
8185,Walkbehind Blower,,,,13,,Hour,2.06
8187,Chainsaw,"Bar Length = 20""",3.0 cu in,3.0 cu in,to 3,Heavy Duty,Hour,3.23
8188,Chainsaw,"Bar Length = 20""",5.0 cu in,5.0 cu in,to 6,Heavy Duty,Hour,3.65
8189,Chainsaw,"Bar Length = 20""",6.0 cu in,6.0 cu in,to 7,Heavy Duty,Hour,1.72
8190,Chainsaw,"Bar Length = 16""",2.5 cu in,2.5 cu in,to 2,Light Duty,Hour,1.71
8191,Chainsaw,"Bar Length = 25""",7.0 cu in,7.0 cu in,to 9,Heavy Duty,Hour,4.81
8192,"Chainsaw, Pole","Bar Length = 18""",,,N/A,Hydraulic,Hour,2.52
8193,"Skidder, Log",2023 DEERE 648L II,,,to 237,,Hour,113.03
8194,"Skidder, Log",2022 DEERE 748L II,,,to 263,,Hour,210.67
8195,"Cutter, Brush",2023 Barko 930B Wheel Mulcher,,,to 320,,Hour,174.37
8198,"Buncher, Cutter",Caterpillar 511 Feller Buncher,26.6 ft reach,,to 247,,Hour,155.7
8199,Log Trailer,Log Trailer (Fixed Gooseneck Trailer Level 3 40),40 tons,,,,Hour,14.41
8199.1,Log Splitter,PowerPro 25-Ton Log Splitter,,Kohler SH265 196cc 6.5 Gross HP Horizontal Engine,6.5,Trailer Mounted.,Hour,6.48
8200,"Chipper, Brush",Vermeer BC900XL Brush Chipper,,Material Capacity 9 in Thickness 1 in Diameter 33 in,35,Trailer Mounted.,Hour,24.04
8201,"Chipper, Brush",Vermeer BC1000XL Brush Chipper,,Material Capacity 12 in Width 20 in Thickness .4 in Diameter 20 in,74,Trailer Mounted.,Hour,29.7
8202,"Chipper, Brush",Vermeer BC1500 Brush Chipper,,Material Capacity 15 in Width 22 in Thickness .4 in Diameter 22.5 in,130,Trailer Mounted.,Hour,54.11
8203,"Chipper, Brush",Vermeer BC1800XL Brush Chipper,,Material Capacity 19 in Width .5 in Thickness 26.1 in Diameter 36 in,173,Trailer Mounted.,Hour,74.92
8208,Loader - Tractor - Knuckleboom,2022 Barko 595ML Crawler Mounted Log Loader,"7,770 lbs (32' radius) to 38,180 lbs 12' radius",,,,Hour,150.01
8210,"Clamshell & Dragline, Crawler",2023 TADANO MANTIS GTC 700,"70 Ton Tele Crawler 118 Feet of Main Boom Cummins Diesel Engine 36"" Track Pads Two Winches With 3/4 Wire Rope Tadano AML LMI System",70 Ton,to 260,Bucket not included in rate.,Hour,127.42
8211,"Clamshell & Dragline, Crawler",Tadano GT-1200XL-2,"Specs - MAX. CRANE CAPACITY: 120 USt - MAIN BOOM LENGTH: 41 ft 167.3 ft - BOOM EXTENSION: 33.8 ft 58.7 ft - MAX. COUNTERWEIGHT: 55,100 lbs - OUTRIGGER BASES: 23,5 ft x 19,6 ft - HOIST LINE PULL: 21,800 lbs - MAX RADIUS: 185 ft - MAX. MAIN BOOM LENGTH: 167.3 ft - GVM: 89,900 lbs - DIMENSIONS: 48.56 ft L x 8.5 ft W x 12.3 ft H - ENGINE: Cummins X12",120 Ton,to 520,Bucket not included in rate.,Hour,202.51
8212,"Clamshell, Truck mounted",American 5530,"to 150,000 lbs",,to 240,,Hour,114.56
8218,BOMAG Compactor,BW100AD-3,,,to 33,,Hour,45.79
8219,Compactor -2-Ton Pavement Roller,Single Drum Vibratory Compactor,,,,,Hour,33.24
8220,"Compactor, Hand Held",Miscellaneous Hand Held Vibratory Compactor,,to 2.9 Ton,to 28,,Hour,15.52
8221,"Compactor, towed, vibratory drum",Blue Diamond Skid Steer Vibratory Roller | Smooth or Pad Foot,"Smooth Drum Width 84""",,,Plus Skid Steer,Hour,27.01
8222,"Compactor, vibratory drum",2013 BOMAG BW-120AD-4 (disc. 2013),"Drum Width 47.2""","Drum Width 47.2""",to 75,,Hour,39.01
8223,"Compactor, pnuematic, wheel",BOMAG BW11-RH,"68"" width",,to 100,Cummins 4B3.3TA 85-HP Engine,Hour,114.91
8224,Vibratory Compactor,CATERPILLAR CP-563D (disc. 2003),"Drum Width 51""","Drum Width 51""",to 145,Single Drum,Hour,124.72
8225,"Compactor, Sanitation",Caterpiller 816,,12 FT Blade,284,,Hour,197.35
8226,"Compactor, Sanitation",Caterpiller 826,,14 FT Blade,435,,Hour,243.88
8227,"Compactor, Sanitation",Caterpiller 836,,17 FT Blade,562,,Hour,400.69
8228,"Compactor, towed, pneumatic, wheel",Miscellaneous,,,N/A,11-Wheels (Towed),Hour,14.94
8229,"Compactor, Towed Steel Drum Static Compactor",Miscellaneous,,,N/A,,Hour,21.5
8240,"Feeder, Grizzly","Misc Vibratory Grizzly Feeder, 35"" x 14', single deck",,,to 35,,Hour,23.01
8241,"Feeder, Grizzly","Misc Vibratory Grizzly Feeder, 52"" x 20', single deck",,,to 55,,Hour,29.27
8242,"Feeder, Grizzly","Misc Vibratory Grizzly Feeder, 62"" x 30', double deck",,,to 75,,Hour,60.04
8250,"Dozer, crawler",CAT D1,,,to 80,,Hour,60.28
8251,"Dozer, crawler",CAT D3,,,to 104,,Hour,74.1
8252,"Dozer, crawler",CAT D4,,,to 130,,Hour,99.7
8253,"Dozer, crawler",CAT D6,,,to 215,,Hour,160.75
8254,"Dozer, crawler",CAT D8,,,to 363,,Hour,242.63
8255,"Dozer, crawler",CAT D9,,,to 452,,Hour,360.3
8256,"Dozer, crawler",CAT D11,,,to 850,,Hour,550.14
8260,"Dozer, wheel",CAT 814,,,Tto 250,,Hour,106.02
8261,"Dozer, wheel",CAT 824,,,to 405,,Hour,170.28
8262,"Dozer, wheel",CAT 834,,,to 496,,Hour,308.97
8263,"Dozer, wheel",CAT 844,,,to 732,,Hour,402.76
8269,Box Scraper,"84"" Rome Model 5C Pull Scraper",4.1 cu yd,,,,Hour,18.41
8270,"Bucket, Clamshell",Heiden HC30133 Super Clamshell Bucket,1.0 CY,1.0 CY,N/A,Includes teeth. Does not include Clamshell & Dragline,Hour,3.65
8271,"Bucket, Clamshell",Anvil Attachments 3 Yard Clamshell Bucket,3 CY,4 CY,N/A,Includes teeth. Does not include Clamshell & Dragline,Hour,6.8
8272,"Bucket, Clamshell",Anvil Attachments 5 Yard Clamshell Bucket,5.0 CY,5.0 CY,N/A,Includes teeth. Does not include Clamshell & Dragline,Hour,10.19
8273,"Bucket, Clamshell",Miscellaneous 7-1/2S,7.5 CY,7.5 CY,N/A,Does not include Clamshell & Dragline,Hour,15.09
8275,"Bucket, Dragline",Miscellaneous 2L,2.0 CY,2.0 CY,N/A,Does not include Clamshell & Dragline,Hour,3.36
8276,"Bucket, Dragline",Miscellaneous 5L,5 CY,5 CY,N/A,Does not include Clamshell & Dragline,Hour,6.49
8277,"Bucket, Dragline",Miscellaneous 10L,10 CY,10 CY,N/A,Does not include Clamshell & Dragline,Hour,11.81
8278,"Bucket, Dragline",Miscellaneous 14M,14 CY,14 CY,N/A,"Crawler, Truck & Wheel. Includes bucket.",Hour,16.53
8280,"Excavator, Hydraulic",Caterpillar 305 CR,,,to 45,"Crawler, Truck & Wheel. Includes bucket.",Hour,57.14
8281,"Excavator, Hydraulic",Caterpillar 313 GC,,,to 90,"Crawler, Truck & Wheel. Includes bucket.",Hour,95.01
8282,"Excavator, Hydraulic",Caterpillar 320 GC,,,to 150,"Crawler, Truck & Wheel. Includes bucket.",Hour,107.93
8283,"Excavator, Hydraulic",Caterpillar 330 GC,,,to 201,"Crawler, Truck & Wheel. Includes bucket.",Hour,150.99
8284,"Excavator, Hydraulic",Caterpillar 340 GC,,,to 350,"Crawler, Truck & Wheel. Includes bucket.",Hour,291.49
8285,"Excavator, Hydraulic",Caterpillar 395,,,to 550,"Crawler, Truck & Wheel. Includes bucket.",Hour,336.18
8287,"Excavator, Truck Mounted",2008 Gradall XL 3100 III (disc. 2011),0.57 CY,0.57 CY,to 184,Truck Mounted,Hour,215.34
8288,"Excavator, Truck Mounted",2003 Gradall XL 4100 III (Disc. 2011),0.62 CY,0.62 CY,to 238,Truck Mounted,Hour,315.08
8289,"Excavator, Truck Mounted",2006 Gradall XL 5100 (disc. 2006),1.25 CY,1.25 CY,to 230,Truck Mounted,Hour,351.11
8290,"Trowel, Concrete",Husqvarna 48 in Gasoline Walk Behind Trowel,48 IN,,to 12,48 In,Hour,5.32
8300,Forklift,Toyota 50-8FGU30,"6,000 Lbs","6,000 Lbs",to 60,,Hour,21.18
8301,Forklift,Toyota 50-8FG50U,"11,000 Lbs","11,000 Lbs",to 90,,Hour,24.75
8302,Forklift,Toyota 50-8FG80U,"17,500 Lbs","17,500 Lbs",to 140,,Hour,29.06
8303,Forklift,Taylor TE-450M (disc. 1998),"45,000 lbs","50,000 lbs",to 215,,Hour,90.72
8306,Fork Lift material handler,Caterpillar TL 642,"6,500 lbs","6,500 LBS",to 74,,Hour,94.49
8307,Fork Lift material handler,Caterpillar TL 943,"9,000 Lbs","9,000 Lbs",to 111,,Hour,116.27
8308,Fork Lift material handler,Caterpillar TL1255,"12,000 lbs","12,000 lbs",to 134,,Hour,123.49
8310,Generator,"Miscellaneous GAS 5,5 KW",5.5 KW,,,,Hour,6.78
8311,Generator,Miscellaneous DIESEL 17 KW,17 KW,,,,Hour,8.12
8312,Generator,Miscellaneous DIESEL 25 KW,20 KW,,,,Hour,28.15
8313,Generator,Miscellaneous DIESEL 40 KW,40 KW,,,,Hour,41.55
8314,Generator,Miscellaneous DIESEL 45 KW,47.5 kW,,,,Hour,42.45
8315,Generator,Miscellaneous DIESEL 100 KW,100 KW,,,,Hour,62.08
8316,Generator,Miscellaneous DIESEL 150 KW,150 KW,,,,Hour,70.76
8317,Generator,Miscellaneous DIESEL 225 KW,210 KW,,,,Hour,100.05
8318,Generator,Miscellaneous DIESEL 300 KW,280 KW,,,,Hour,119.63
8319,Generator,Miscellaneous DIESEL 350 KW,350 KW,,,,Hour,172.46
8320,Generator,Miscellaneous DIESEL 400 KW,400 KW,,,,Hour,219.49
8321,Generator,Miscellaneous DIESEL 500 KW,500 KW,,,,Hour,392.87
8322,Generator,Miscellaneous DIESEL 700 KW,700 KW,,,,Hour,578.9
8323,Generator,Miscellaneous DIESEL 800 KW,800 KW,,,,Hour,626.66
8324,Generator,Miscellaneous DIESEL 900 KW,900 KW,,,,Hour,685.25
8325,Generator,Miscellaneous DIESEL 1000 KW,1000 KW,,,,Hour,748.86
8326,Generator,Caterpillar XQC1200 (Enclosed),1150 KW,,,,Hour,778.27
8327,Generator,Miscellaneous DIESEL 1500 KW,1500 KW,,,,Hour,844.15
8328,Generator,"Generator, 2,500 KW",2500 KW,,,,Hour,983.59
8329,Generator,Cummins QSK95 C3250D6E,3000 KW,,,,Hour,1024.88
8331,Graders,CAT 120,12 Ft,12 Ft,to 171,Includes Rigid and Articulate equipment.,Hour,131.96
8332,Graders,CAT 140,12 FT,12 FT,to 196,Includes Rigid and Articulate equipment.,Hour,159.04
8333,Graders,CAT 160,14 Ft,14 Ft,to 290,Includes Rigid and Articulate equipment.,Hour,231.47
8334,Graders,CAT 18,18 Ft,18 Ft,to 304,Includes Rigid and Articulate equipment.,Hour,281.33
8335,Widener Attachment,Loader or Grader Propelled,Widener Attachment,10' Max Spread Width,49,,Hour,10.13
8350,"Hose, Discharge","Discharge Hose, 3-IN",3 In Discharge Diameter 50 foot,3 In Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.15
8351,"Hose, Discharge","Discharge Hose, 4-IN",4 in Discharge Diameter 50 foot,4 in Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.23
8352,"Hose, Discharge","Discharge Hose, 6-IN",6 In Discharge Diameter 50 foot,6 In Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.58
8353,"Hose, Discharge","Discharge Hose, 8-IN",8 In Discharge Diameter 50 foot,8 In Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.65
8354,"Hose, Discharge","Discharge Hose, 12-IN",12 In Discharge Diameter,12 In Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.95
8355,"Hose, Discharge","Discharge Hose, 16-IN",16 In Discharge Diameter,16 In Discharge Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,1.79
8356,"Hose, Suction",Suction Hose - SH-3/25,3 In Diameter,3 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.27
8357,"Hose, Suction",Miscellaneous SH-4/25,4 In Diameter,4 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,0.32
8358,"Hose, Suction",Miscellaneous SH-6/25,6 In Diameter,6 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,1.06
8359,"Hose, Suction","Suction Hose, 8-IN",8 In Diameter,8 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,1.14
8360,"Hose, Suction","Suction Hose, 12-IN",12 In Diameter,12 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,1.72
8361,"Hose, Suction","Suction Hose, 16-IN",16 In Diameter,16 In Diameter,N/A,Per 50 foot length. Includes couplings.,Hour,3.25
8380,"Loader, Crawler",Bobcat MT120,,,to 25,Includes bucket.,Hour,36.92
8381,"Loader, Crawler",Bobcat T450,,,to 55,Includes bucket.,Hour,41.49
8382,"Loader, Crawler",Bobcat T86,,,to 105,Includes bucket.,Hour,62.38
8383,"Loader, Crawler",Caterpillar 963C 2022,3.2 cu yd,3 CY,to 178,Includes bucket.,Hour,197.79
8384,"Loader, Crawler",Caterpillar 973C (disc. 2010),4.19 cu yd,4 CY,to 238,Includes bucket.,Hour,254.71
8390,"Loader, Wheel",Gehl 280 (disc. 2009),0.7 cu yd,0.5 CY,to 38,,Hour,36.72
8391,"Loader, Wheel",Bobcat L85,,,to 68,Includes bucket.,Hour,58.08
8392,"Loader, Wheel",Caterpillar 910,,,to 110,Includes bucket.,Hour,64.66
8393,"Loader, Wheel",Caterpillar 926,,,to 170,Includes bucket.,Hour,116.74
8394,"Loader, Wheel",Deere 644K - 4WD (disc. 2019),4.2 cu yd,4 CY,232,,Hour,116.87
8395,"Loader, Wheel",Case 921C - 4WD (disc. 2008),5.0 cu yd,5 CY,255,,Hour,163.2
8396,"Loader, Wheel",Caterpillar 950,,,to 250,Includes bucket.,Hour,139.8
8397,"Loader, Wheel",Caterpillar 972,,,to 339,Includes bucket.,Hour,143.78
8398,"Loader, Wheel",Caterpillar 988,,,to 580,Includes bucket.,Hour,341.25
8399,"Tractor, Wheel",John Deere 6605 (disc. 2005),100 IN.,100 IN.,to 95,Does not include mower attachment. Flail Industrial towed mower would add $4.96/Hour,Hour,70.76
8400,"Tractor, Wheel",New Holland T6030 (disc. 2012),,,to 115,Tractor - agriculture all purpose,Hour,90.92
8401,"Loader, Tractor, Wheel",Case 580 SUPER L (disc. 2000),0.87 CY,0.87 CY,to 80,,Hour,92.56
8410,"Mixer, Concrete Portable",Menegotti Concrete Mixer Wheelbarrow Concrete Mixer,5.0 cu ft,5.0 CF,0.5,,Hour,1.95
8411,"Mixer, Concrete, Trailer Mntd",TK Equipment Hydraulic Mortar Mixer w/ Honda Engine,MODEL MM12 Batch Capacity bags 3 1/2 - 4 bags Total Capacity cu. ft. (Lt) 3.29 cu. ft (376) Mixing Capacity cu.ft. (Lt) 12 cu.ft (340),12 CF,to 5,,Hour,8.0
8412,"Mixer, Concrete, Trailer Mntd",TK Equipment Hydraulic Mortar Mixer w/ Honda Engine,MODEL HM 16 Batch Capacity Bags 4 - 5 bags Capacity Cu. Ft. (lts)16 cu.ft (453),16 CF,to 13,,Hour,17.49
8414,"Truck, Concrete Mixer",FREIGHTLINER 114SD with Cummins X12 455V diesel engine,11 CY Mixer,,350 to 500,,Hour,81.76
8419,"Breaker, Pavement Hand-held",Miscellaneous STANDARD 25-30 LBS,80 - 90 Lbs,90 Lbs,N/A,Includes bucket.,Hour,1.18
8420,"Breaker, Pavement",Arrow Master 1350,,,to 80,Includes bucket.,Hour,60.79
8421,"Vibrator, Concrete",44234,"2.5 in head, 16 ft shaft",,to 2,Electric Powered,Hour,2.58
8423,"Spreader, Chip",2010 Etnyre Quad Chip Spreader,2.8 CY,2.8 CY,to 260,,Hour,105.39
8424,"Spreader, Chip",2019 Rosco CSV,3.5 CY,3.8 CY,to 275,,Hour,150.91
8425,"Spreader, Chip, Mounted",8-CONVEYOR - Chip Spreaders for Tail Gate Mounting,8 Ft,8 Ft,to 8,Includes bucket.,Hour,4.07
8430,"Paver, Asphalt, Towed",Layton F-525,96-144 in screed width,,N/A,Includes bucket.,Hour,12.44
8431,"Paver, Asphalt",Caterpillar AP 455 Track,"Paving Range with SE47 FM 2.4 m - 5.9 m (8' - 19' 6"") Operating weight with SE47 FM 31533 lb Maximum Throughput Capacity 853 ton(US)/h",,120,,Hour,262.71
8432,"Paver, Asphalt",Caterpillar AP 555 Track,Paving Range with SE47 FM 2.4 m - 6.1 m (8' - 20') Operating weight with SE47 FM 33689 lb Maximum Throughput Capacity 1100 ton(US)/h,,148,,Hour,271.01
8433,"Paver, Asphalt",Caterpillar AP 655 Track,"Paving Range with SE47 FM 2.44 - 6.25 m (8' - 20' 6"") Operating weight with SE47 FM 40560 lb Maximum Throughput Capacity 1433 ton(US)/h",,173,,Hour,308.47
8434,"Paver, Asphalt",Caterpillar AP 500 Wheel,"Paving Range with SE47 FM 2.4 m - 5.9 m (8' - 19' 6"") Operating weight with SE47 FM 32012 lb Maximum Throughput Capacity 1100 ton(US)/h",,148,,Hour,274.31
